key,English,Português,日本語
,,,
story_button,STORY\nMODE,MODO\nHISTÓRIA,ストーリーモード
freeplay_button,FREEPLAY,FREEPLAY,フリープレイ
options_button,OPTIONS,OPÇÕES,設定
extras_button,EXTRAS,EXTRAS,エキストラ
credits_button,CREDITS,CRÉDITOS,クレジット
story_desc,Play through a series of songs with an overarching storyline!,Jogue uma série de músicas com uma história interligada!,全体的物語のある曲のシリーズを遊びます！
freeplay_desc,Pick a specific song of your liking without the need of cutscenes or other story songs!,Jogue uma música de sua escolha sem se preocupar com cutscenes ou outras músicas do modo história!,カットシーンとか他の物語曲無し好きな特定曲を決めます！
options_desc,Edit the gameplay{0} visuals{0} and a plethora of other settings to customize your playstyle!,Edite os visuais{0} jogabilidade{0} e várias outras configurações para personalizar seu estilo de jogo!,ゲームプレイやビジュアルや色んな他もの微調整します！
extras_desc,Visit a few more additions that Vs. Camellia has to offer!,Visite mais algumas adições que o Vs. Camellia tem para oferecer!,Vs. Camelliaの追加コンテンツをご覧ください！
credits_desc,Check out everyone who've contributed to Vs. Camellia!,Confira todos os membros que contribuíram com o Vs. Camellia!,Vs. Camelliaを貢献した人をチェックします！
,,,
story_scroll,SELECT WEEK,ESCOLHER SEMANA,ウィークを選ぶ
freeplay_scroll,SELECT SONG,ESCOLHER MÚSICA,曲を選ぶ
diff_scroll,SELECT DIFFICULTY,ESCOLHER DIFICULDADE,難易度を選ぶ
modifiers,MODIFIERS,MODIFICADORES,変更
extras_scroll,SELECT EXTRA,ESCOLHER EXTRAS,エキストラを選ぶ
addons_scroll,SELECT PACK,ESCOLHER ADDON,パックを選ぶ
reload,RELOAD,RECARREGAR,再読み込む
credits_scroll,PREVIOUS/NEXT,ANTERIOR/PRÓXIMO,前／次
social_scroll,SWITCH SOCIALS,ESCOLHER SOCIAIS,SNSを切り替える
,,,
awards_total,TOTAL PROGRESS,,
,,,
addons_what_title,WHAT ARE ADD-ONS?,O QUE SÃO ADD-ONS?,アドオンは何ですか？
addons_what_desc,Add-ons are additional side-content that acts as a supplement to the main mod. You can freely enable and disable mods to your liking!,Add-ons são um tipo de conteúdo adicional que servem para suplementar o mod principal. Você pode ligar e desligar Add-ons como quiser!,アドオンは元モッドの副内容です。お好みを自由に有効化および無効化できます！
license_warning,denotes a pack that contains licensed songs. We recommend not playing these packs if you're streaming.,significa que um add-on contém músicas licensiadas. Sugerimos que não jogue esses packs se você estiver ao-vivo.,が著作権のある音楽を含まれますことを示します。配信してるなら、このアドオンを使わないことをお勧めします
,,,
Directors,Directors,Diretores,役員
Musicians,Musicians,Músicos,音楽家
Programmers,Programmers,Programadores,プログラマー
Charters,Charters,Charters,チャート作者
Artists,Artists,Artistas,画家
Bugtesters,Bugtesters,Bugtesters,Bugtesters
Special Thanks,Special Thanks,Agradecimentos Especiais,特別感謝
,,,
Settings,Settings,Configurações,設定
Keybinds,Keybinds,Controles,コントロール
key_opt_desc,When selected{0} hit {1} to change the indicated key.,Quando selecionado{0} aperte {1} para mudar o controle indicado.,選んだら{0}、指定されたボタンを変わるために{1}を叩いてください
sel_key_desc,Input any key to set the bind.\nTo cancel{0} press ESCAPE. To delete{0} press DELETE.,Pressione qualquer tecla para definir o controle.\nPara cancelar{0} aperte ESCAPE. Para apagar{0} aperte DELETE,Input any key to set the bind.\nTo cancel{0} press ESCAPE. To delete{0} press DELETE.
left_note,Left Note,Esquerda (Jogo),左ノート
left_note_desc,For hitting left notes.,Para acertar notas à esquerda.,左音符を叩くに
down_note,Down Note,Abaixo (Jogo),下ノート
down_note_desc,For hitting down notes.,Para acertar notas abaixo.,下音符を叩くに
up_note,Up Note,Acima (Jogo),上ノート
up_note_desc,For hitting up notes.,Para acertar notas acima.,上音符を叩くに
right_note,Right Note,Direita (Jogo),右ノート
right_note_desc,For hitting right notes.,Para acertar notas à direita.,右音符を叩くに
pause,Pause,Pause,ポーズ
pause_desc,For pausing the game mid-song.,Para pausar o jogo no meio de uma música.,曲を一時停止するに
reset,Reset,Reiniciar,やり直す
reset_desc,For forfeiting the song mid-way if allowed.,Para reiniciar no meio de uma música caso permitido.,許したら、喪失して繰り返すに
ui_left,UI Left,Esquerda (Menu),UI左
ui_left_desc,For moving left in the menu.,Para mover-se para a esquerda no menu,メニューで左に移動するに
ui_up,UI Up,Acima (Menu),UI右
ui_up_desc,For moving up in the menu.,Para mover-se para cima no menu,メニューで下に移動するに
ui_down,UI Down,Abaixo (Menu),UI下
ui_down_desc,For moving down in the menu.,Para mover-se para baixo no menu,メニューで上に移動するに
ui_right,UI Right,Direita (Menu),UI上
ui_right_desc,For moving right in the menu.,Para mover-se para a direita no menu,メニューで右に移動するに
accept,Accept,Confirmar,同意する
accept_desc,For confirming actions in the menu.,Para confirmar ações no menu.,行動を同意するに
back,Back,Voltar,戻る
back_desc,For exiting or canceling actions in the menu.,Para cancelar ações no menu.,行動を戻るやキャンセルするに
mute,Mute/Unmute,Silenciar/Habilitar Volume,ミュート
mute_desc,For muting or unmuting the game.,Para silenciar ou habilitar o volume do jogo.,ゲームを音有効又は無効するに
volume_up,Volume Up,Aumentar Volume,ボリューム上
volume_up_desc,For increasing the volume.,Para aumentar o volume.,ボリュームを増すに
volume_down,Volume Down,Diminuir Volume,ボリューム下
volume_down_desc,For decreasing the volume.,Para diminuir o volume.,ボリュームを減らすに
,,,
Gameplay,Gameplay,Jogabiliade,ゲームプレイ
scroll_dir,Scroll Direction,Direção do jogo,スクロールの方向
scroll_dir_desc,Which way the notes will move.,Altera a direção das notas (Para cima/Para baixo),音符の動きの方
scroll_speed,Scroll Speed,Velocidade do jogo,スクロールの速度
scroll_speed_desc,How fast the notes will move.,Altera o quão rápido as notas aparecerão.,音符の動き速度
center_notes,Centered Notes,Coluna Centralizada,画面中心音符
center_notes_desc,If your field should be in the middle of the game instead of the side.,Permite que suas notas sejam centralizadas no meio da tela,プレイフィールドが側面ではなく中央を占めるべきの場合
opp_notes,Opponent Notes,Coluna do oponente,敵音符
opp_notes_desc,If your opponent's field should be visible.,Se as notas do seu oponente devem ser visíveis.,敵音符が見えるべきの場合
quant_col,Quant Coloring,Colorização quantitativa,タイミング基づき色付け
quant_col_desc,The colorization method for the notes.,Altera a forma que as notas serão coloridas.,音符色化の方
ghost_t,Ghost Tapping,Ghost Tapping,ゴーストタップ
ghost_t_desc,Whether or not you avoid a penalty for pressing a key without hitting notes.,Se você deve sofrer uma penalidade por pressionar uma tecla sem acerta uma nota.,音符無しにボタンが当たる時に罰するべきの場合
metronome,Metronome,Metrónomo,メトロノーム
metronome_desc,Whether or not a sound should be played every beat.,Se o jogo deve reproduzir um som a cada batida,Whether or not a sound should be played every beat.
can_reset,Can Reset,Permitido Reiniciar,やり直せる
can_reset_desc,If you're allowed to die and restart by pressing your reset bind.,Se é possível reiniciar ou não apertando a tecla respectiva,リセットボタンを押す時に死んで繰り返せる場合
note_offset,Note Offset,Offset das Notas,ノートオフセット
note_offset_desc,How offset the notes are from the chart. \n\n(Higher = Later),Aplica um offset para o chart. \n\n(Número maior = Mais tarde),音符が譜面からどれだけずれてます（より高い＝より後）
calc_offset,Calibrate Offset,Calibração de Offset,Calibrate Offset
calc_offset_desc,Find your offset automatically.,Encontre seu offset automáticamente.,Find your offset automatically.
assist_claps,Assist Claps,Assist Claps,当たり音
assist_claps_desc,Plays a hitsound for when you should hit a note.,Toca um som quando você deve acertar uma nota.,音符を押す時に音が鳴らす場合
acc_type,Accuracy Type,Tipo de Precisão,精度タイプ
acc_type_desc,How your accuracy should be calculated.,Como o jogo calculará sua precisão,精度の計算方
hit_error_bar,Hit Error Bar,Barra de precisão,当たり誤差棒
hit_error_bar_desc,If the game will show a bar containing how off your recent hits were.,Se o jogo mostrará uma barra que indica o quão perto você esteve de acertar a nota perfeitamente.,タイミングを表示する棒を視認できる
modcharts,Modcharts,Modcharts,モッド譜面
modcharts_desc,Whether or not the game can move the notes around crazily in specific songs.,Se o jogo pode mexer as notas de uma forma especial em músicas específicas.,特定曲に音符が荒いに動くかどうか場合
,,,
customize_notes,Customize Notes,Customize Notes,Customize Notes
customize_notes_desc,Edit the note textures and colors to your liking.,Edit the note textures and colors to your liking.,Edit the note textures and colors to your liking.
color_warning,You're not on custom! Your modified color will not save!\nPlease use "Apply to Custom" and switch Quant Coloring to "Custom" or "Custom (Columns).",You're not on custom! Your modified color will not save!\nPlease use "Apply to Custom" and switch Quant Coloring to "Custom" or "Custom (Columns).",You're not on custom! Your modified color will not save!\nPlease use "Apply to Custom" and switch Quant Coloring to "Custom" or "Custom (Columns)."
hue,HUE,HUE,HUE
red,RED,RED,RED
sat,SATURATION,SATURATION,SATURATION
green,GREEN,GREEN,GREEN
val,VALUE,VALUE,VALUE
blue,BLUE,BLUE,BLUE
apply_custom,APPLY TO CUSTOM,APPLY TO CUSTOM,APPLY TO CUSTOM
copy,COPY,COPY,COPY
paste,PASTE,PASTE,PASTE
rgb,RGB,RGB,RGB
hsv,HSV,HSV,HSV
,,,
HUD,HUD,HUD,HUD
judge_counter,Judgement Counter,Contador de Julgamentos,判定数表示
judge_counter_desc,If there will be a counter on the corner showing your judgement totals.,Se o jogo mostrará um contador na tela mostrando sua quantidade total de julgamentos.,If there will be a counter on the corner showing your judgement totals.
combo_tinting,Combo Tinting,Colorização de Combo,コンボ色合い
combo_tinting_desc,Allows the combo numbers to be tinted by judgements.,Permite que os números do combo sejam alterados de acordo com os julgamentos.,判定がコンボナンバーの色合いを決定します
popup_cent,Score Popup Center,Localização de pop-up dos Julgamentos,スコアポップアップ場所
